item.ID,item.name,cons.ID,item.type,fixed,cat1,cat2,cat3,cat4,cat5,cat6
1,q1,11111,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2,q2,11111,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
3,q3,11111,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
4,q4,11111,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5,q5,11111,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
6,q6,11111,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
7,q7,11111,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
8,q8,11111,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
9,q9,11111,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
10,q10,11111,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
11,q11,11111,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
12,q12,11111,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
13,q13,11111,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
14,q14,11111,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
